"","taxa","ITS.Copies"
"1030","Glaciozyma_antarctica",2
"1031","Glarea_lozoyensis",1
"1034","Gloeostereum_incarnatum",4
"1035","Glomus_cerebriforme",1
"1036","Glonium_stellatum",1
"1038","Gomphillus_americanus",1
"1042","Grammothele_lineata",6
"1043","Graphilbum_fragrans",1
"1044","Grifola_frondosa",5
"1045","Groenewaldozyma_salmanticensis",1
"1046","Grosmannia_clavigera",2
"1048","Grosmannia_penicillata",37
"1049","Gryganskiella_cystojenkinii",1
"1051","Gymnopilus_dilepis",1
"1052","Gymnopilus_junonius",1
"1053","Gymnopus_androsaceus",1
"1054","Gymnopus_confluens",5
"1057","Hamiltosporidium_magnivora_",2
"1059","Hanseniaspora_clermontiae",1
"1060","Hanseniaspora_gamundiae",1
"1061","Hanseniaspora_guilliermondii",1
"1063","Hanseniaspora_lachancei",1
"1064","Hanseniaspora_meyeri",1
"1065","Hanseniaspora_nectarophila",1
"1066","Hanseniaspora_occidentalis",1
"1067","Hanseniaspora_opuntiae",2
"1068","Hanseniaspora_osmophila",4
"1069","Hanseniaspora_pseudoguilliermondii",1
"1070","Hanseniaspora_thailandica",1
"1071","Hanseniaspora_uvarum",27
"1072","Hanseniaspora_valbyensis",1
"1073","Hanseniaspora_vineae",1
"1074","Haplosporangium_bisporale",1
"1075","Haplosporangium_gracile",1
"1076","Hawksworthiomyces_lignivorus",1
"1077","Hebeloma_cylindrosporum",1
"1081","Hemileia_vastatrix",12
"1083","Hericium_alpestre",1
"1084","Hericium_coralloides",3
"1085","Hericium_erinaceus",3
"1086","Herpomyces_periplanetae",1
"1087","Hesseltinella_vesiculosa",18
"1088","Heterobasidion_annosum",1
"1089","Heterobasidion_irregulare",1
"1090","Heterobasidion_parviporum",19
"1092","Hirsutella_minnesotensis",1
"1094","Hirsutella_thompsonii",1
"1095","Histoplasma_capsulatum",2
"1098","Homolaphlyctis_polyrhiza",1
"1100","Hortaea_werneckii",5
"1101","Huntiella_bhutanensis",1
"1102","Huntiella_decipiens",1
"1103","Huntiella_moniliformis",1
"1105","Huntiella_savannae",1
"1110","Hydnum_rufescens",1
"1112","Hygrophorus_pudorinus",3
"1116","Hymenoscyphus_fraxineus",1
"1117","Hymenoscyphus_fructigenus",1
